"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Funding Details","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Tschuertz N.; Kupczyk P.; Poetzsch B.; Gembruch U.; Merz W.M.","Tschuertz, Nikolai (58513883200); Kupczyk, Patrick (56604272100); Poetzsch, Bernd (7004395791); Gembruch, Ulrich (7004944536); Merz, Waltraut M. (24833128700)","58513883200; 56604272100; 7004395791; 7004944536; 24833128700","Unilateral Non-Hemorrhagic Adrenal Infarction in Pregnancy: Case Series and Literature Review","2023","Journal of Clinical Medicine","12","14","4855","","","","2","10.3390/jcm12144855","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166350944&doi=10.3390%2fjcm12144855&partnerID=40&md5=7384dcefa9d18732011df1fa4843ebb3","Department of Obstetrics and Prenatal Medicine, University Hospital Bonn, Bonn, 53127, Germany; Department of Diagnostic and Interventional Radiology, University Hospital Bonn, Bonn, 53127, Germany; Institute of Experimental Hematology and Transfusion Medicine, University Hospital Bonn, Bonn, 53127, Germany","Tschuertz N., Department of Obstetrics and Prenatal Medicine, University Hospital Bonn, Bonn, 53127, Germany; Kupczyk P., Department of Diagnostic and Interventional Radiology, University Hospital Bonn, Bonn, 53127, Germany; Poetzsch B., Institute of Experimental Hematology and Transfusion Medicine, University Hospital Bonn, Bonn, 53127, Germany; Gembruch U., Department of Obstetrics and Prenatal Medicine, University Hospital Bonn, Bonn, 53127, Germany; Merz W.M., Department of Obstetrics and Prenatal Medicine, University Hospital Bonn, Bonn, 53127, Germany","","N. Tschuertz; Department of Obstetrics and Prenatal Medicine, University Hospital Bonn, Bonn, 53127, Germany; email: nikolai.tschuertz@ukbonn.de","","Multidisciplinary Digital Publishing Institute (MDPI)","20770383","","","","English","J. Clin. Med.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85166350944"
"Kryczyk-Kozioł J.; Zagrodzki P.; Paśko P.","Kryczyk-Kozioł, Jadwiga (57191346652); Zagrodzki, Paweł (7004008956); Paśko, Paweł (57216749320)","57191346652; 7004008956; 57216749320","Wpływ suplementacji diety selenem na przebieg autoimmunologicznego zapalenia tarczycy – przegląd badań klinicznych przeprowadzonych w populacji europejskiej","2021","Postepy Higieny i Medycyny Doswiadczalnej","75","1","","683","695","12","1","10.2478/AHEM-2021-0027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122476972&doi=10.2478%2fAHEM-2021-0027&partnerID=40&md5=9c91de626b8f9d9f48f15f84b5b880a4","Zakład Bromatologii Collegium Medicum Uniwersytetu Jagiellońskiego, ul. Medyczna 9, Kraków, 30-688, Poland","Kryczyk-Kozioł J., Zakład Bromatologii Collegium Medicum Uniwersytetu Jagiellońskiego, ul. Medyczna 9, Kraków, 30-688, Poland; Zagrodzki P., Zakład Bromatologii Collegium Medicum Uniwersytetu Jagiellońskiego, ul. Medyczna 9, Kraków, 30-688, Poland; Paśko P., Zakład Bromatologii Collegium Medicum Uniwersytetu Jagiellońskiego, ul. Medyczna 9, Kraków, 30-688, Poland","","J. Kryczyk-Kozioł; Zakład Bromatologii Collegium Medicum Uniwersytetu Jagiellońskiego, Kraków, ul. Medyczna 9, 30-688, Poland; email: jadwiga.kryczyk@uj.edu.pl","","Polska Akademia Nauk","00325449","","","","Polish","Postepy Hig. Med. Dosw.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85122476972"
"Nanba T.; Watanabe M.; Inoue N.; Iwatani Y.","Nanba, Takashi (7103056732); Watanabe, Mikio (55793188612); Inoue, Naoya (35750180700); Iwatani, Yoshinori (7005606504)","7103056732; 55793188612; 35750180700; 7005606504","Increases of the Th1/Th2 cell ratio in severe Hashimoto's disease and in the proportion of Th17 cells in intractable Graves' disease.","2009","Thyroid : official journal of the American Thyroid Association","19","5","","495","501","6","183","10.1089/thy.2008.0423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650345273&doi=10.1089%2fthy.2008.0423&partnerID=40&md5=a750374877aa0afbaad0f1f794c031fc","Department of Biomedical Informatics, Division of Health Sciences, Osaka University Graduate School of Medicine, Yamadaoka 1-7, Suita, Osaka, Japan","Nanba T., Department of Biomedical Informatics, Division of Health Sciences, Osaka University Graduate School of Medicine, Yamadaoka 1-7, Suita, Osaka, Japan; Watanabe M., Department of Biomedical Informatics, Division of Health Sciences, Osaka University Graduate School of Medicine, Yamadaoka 1-7, Suita, Osaka, Japan; Inoue N., Department of Biomedical Informatics, Division of Health Sciences, Osaka University Graduate School of Medicine, Yamadaoka 1-7, Suita, Osaka, Japan; Iwatani Y., Department of Biomedical Informatics, Division of Health Sciences, Osaka University Graduate School of Medicine, Yamadaoka 1-7, Suita, Osaka, Japan","Japan Society for the Promotion of Science, JSPS, (21590625)","","","","15579077","","","19415997","English","Thyroid","Article","Final","","Scopus","2-s2.0-67650345273"
"An R.; Li Y.; Yang B.; Wang H.; Xu Y.","An, Ran (55847412700); Li, Yan (57219145369); Yang, Baiyuan (57193719013); Wang, Hui (59076176700); Xu, Yanming (57207020913)","55847412700; 57219145369; 57193719013; 59076176700; 57207020913","Rare Co-occurrence of Ocular Myasthenia Gravis and Thyroid-Associated Orbitopathy (Ophthalmopathy) in an Individual With Hypothyroidism","2019","Frontiers in Endocrinology","9","","801","","","","6","10.3389/fendo.2018.00801","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084294033&doi=10.3389%2ffendo.2018.00801&partnerID=40&md5=590cc7c4e26c219bc4485e5744a93cac","Department of Neurology, West China Hospital, Sichuan University, Chengdu, China; Department of Neurology, Chengdu Seventh People's Hospital, Chengdu, China","An R., Department of Neurology, West China Hospital, Sichuan University, Chengdu, China; Li Y., Department of Neurology, West China Hospital, Sichuan University, Chengdu, China; Yang B., Department of Neurology, West China Hospital, Sichuan University, Chengdu, China, Department of Neurology, Chengdu Seventh People's Hospital, Chengdu, China; Wang H., Department of Neurology, West China Hospital, Sichuan University, Chengdu, China; Xu Y., Department of Neurology, West China Hospital, Sichuan University, Chengdu, China","Sichuan Provincial Science and Technology Department Applied Basic Research Program, (2014JY0247)","Y. Xu; Department of Neurology, West China Hospital, Sichuan University, Chengdu, China; email: neuroxym999@163.com","","Frontiers Media S.A.","16642392","","","","English","Front. Endocrinol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85084294033"
"Ahmed H.S.; Nsrallah A.A.M.; Abdel-Fatah A.H.; Mahmoud A.A.; Fikry A.A.","Ahmed, Hanan S. (56454805100); Nsrallah, Ayman A.M. (57207455984); Abdel-Fatah, Azza H. (57223194673); Mahmoud, Amira A. (57338149100); Fikry, Abeer A. (55933538300)","56454805100; 57207455984; 57223194673; 57338149100; 55933538300","Association of thyroid peroxidase gene polymorphisms and serum anti-tpo levels in egyptian patients with autoimmune hypothyroidism","2021","Endocrine, Metabolic and Immune Disorders - Drug Targets","21","4","","734","742","8","6","10.2174/1871530320666200715101907","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105228518&doi=10.2174%2f1871530320666200715101907&partnerID=40&md5=8a5a6fd4f13a1feca54a67ddaec174e6","Clinical Pathology Department, Faculty of Medicine, Zagazig University, Zagazig, Egypt; Internal Medicine Department, Faculty of Medicine, Zagazig University, Zagazig, Egypt","Ahmed H.S., Clinical Pathology Department, Faculty of Medicine, Zagazig University, Zagazig, Egypt; Nsrallah A.A.M., Internal Medicine Department, Faculty of Medicine, Zagazig University, Zagazig, Egypt; Abdel-Fatah A.H., Internal Medicine Department, Faculty of Medicine, Zagazig University, Zagazig, Egypt; Mahmoud A.A., Internal Medicine Department, Faculty of Medicine, Zagazig University, Zagazig, Egypt; Fikry A.A., Clinical Pathology Department, Faculty of Medicine, Zagazig University, Zagazig, Egypt","","H.S. Ahmed; Clinical Pathology Department, Faculty of Medicine, Zagazig University, Zagazig, Egypt; email: hananclpath@yahoo.com","","Bentham Science Publishers","18715303","","","32669082","English","Endocr. Metab. Immune Disord. Drug Targets","Article","Final","","Scopus","2-s2.0-85105228518"
"Caturegli P.; De Remigis A.; Rose N.R.","Caturegli, P. (35463545700); De Remigis, A. (55014557300); Rose, N.R. (36047383800)","35463545700; 55014557300; 36047383800","Hashimoto thyroiditis: Clinical and diagnostic criteria","2014","Autoimmunity Reviews","13","4-5","","391","397","6","665","10.1016/j.autrev.2014.01.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896319312&doi=10.1016%2fj.autrev.2014.01.007&partnerID=40&md5=04546b1ea9827eea044352b77a62c32d","Department of Pathology, Johns Hopkins University School of Medicine, Baltimore, MD, United States; Feinstone Department of Molecular Microbiology and Immunology, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, United States","Caturegli P., Department of Pathology, Johns Hopkins University School of Medicine, Baltimore, MD, United States, Feinstone Department of Molecular Microbiology and Immunology, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, United States; De Remigis A., Department of Pathology, Johns Hopkins University School of Medicine, Baltimore, MD, United States; Rose N.R., Department of Pathology, Johns Hopkins University School of Medicine, Baltimore, MD, United States, Feinstone Department of Molecular Microbiology and Immunology, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, United States","","P. Caturegli; Johns Hopkins Pathology, Baltimore, MD 21205, Ross Building, 720 Rutland Avenue, United States; email: pcat@jhmi.edu","","Elsevier","15689972","","ARUEB","24434360","English","Autoimmun. Rev.","Review","Final","","Scopus","2-s2.0-84896319312"
"Okosieme O.E.","Okosieme, Onyebuchi E. (6506743718)","6506743718","Thyroid hormone replacement: Current status and challenges","2011","Expert Opinion on Pharmacotherapy","12","15","","2315","2328","13","26","10.1517/14656566.2011.600307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052904108&doi=10.1517%2f14656566.2011.600307&partnerID=40&md5=9d151c6a3bec5a5147b27dfabff34d58","Prince Charles Hospital, Department of Endocrinology and Diabetes, Cwm Taf Local Health Board, Merthyr Tydfil, Mid Glamorgan CF47 9DT, United Kingdom","Okosieme O.E., Prince Charles Hospital, Department of Endocrinology and Diabetes, Cwm Taf Local Health Board, Merthyr Tydfil, Mid Glamorgan CF47 9DT, United Kingdom","","O.E. Okosieme; Prince Charles Hospital, Department of Endocrinology and Diabetes, Cwm Taf Local Health Board, Merthyr Tydfil, Mid Glamorgan CF47 9DT, United Kingdom; email: okosiemeoe@cf.ac.uk","","","17447666","","EOPHF","21762038","English","Expert Opin. Pharmacother.","Review","Final","","Scopus","2-s2.0-80052904108"
"Ivanovski I.; Caraffi S.G.; Magnani E.; Rosato S.; Pollazzon M.; Matalonga L.; Piana S.; Nicoli D.; Baldo C.; Bernasconi S.; Frasoldati A.; Zuffardi O.; Garavelli L.","Ivanovski, Ivan (58321267000); Caraffi, Stefano Giuseppe (14521934100); Magnani, Elisa (12446395400); Rosato, Simonetta (35312111600); Pollazzon, Marzia (24367122400); Matalonga, Leslie (55360025000); Piana, Simonetta (7003349666); Nicoli, Davide (6701689340); Baldo, Chiara (20533361700); Bernasconi, Sergio (7102680449); Frasoldati, Andrea (6602346232); Zuffardi, Orsetta (57190369612); Garavelli, Livia (56009178700)","58321267000; 14521934100; 12446395400; 35312111600; 24367122400; 55360025000; 7003349666; 6701689340; 20533361700; 7102680449; 6602346232; 57190369612; 56009178700","Alazami syndrome: the first case of papillary thyroid carcinoma","2020","Journal of Human Genetics","65","2","","133","141","8","15","10.1038/s10038-019-0682-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074616576&doi=10.1038%2fs10038-019-0682-5&partnerID=40&md5=9f396435b29f53577d844dc13494976f","Medical Genetics Unit, Azienda USL-IRCCS di Reggio Emilia, Reggio Emilia, Italy; Department of Surgical, Medical, Dental and Morphological Sciences with interest in Transplant, Oncology and Regenerative Medicine, University of Modena and Reggio Emilia, Modena, Italy; Endocrinology Unit, Azienda USL-IRCCS di Reggio Emilia, Reggio Emilia, Italy; CNAG-CRG, Centre for Genomic Regulation (CRG), Barcelona Institute of Science and Technology (BIST), Barcelona, Spain; Pathology Unit, Azienda USL-IRCCS di Reggio Emilia, Reggio Emilia, Italy; Laboratory of Molecular Biology, Azienda USL-IRCCS di Reggio Emilia, Reggio Emilia, Italy; Laboratory of Human Genetics, IRCCS Istituto Giannina Gaslini, Genova, Italy; Department of Pediatrics, University of Parma, Parma, Italy; Department of Molecular Medicine, University of Pavia, Pavia, Italy","Ivanovski I., Medical Genetics Unit, Azienda USL-IRCCS di Reggio Emilia, Reggio Emilia, Italy, Department of Surgical, Medical, Dental and Morphological Sciences with interest in Transplant, Oncology and Regenerative Medicine, University of Modena and Reggio Emilia, Modena, Italy; Caraffi S.G., Medical Genetics Unit, Azienda USL-IRCCS di Reggio Emilia, Reggio Emilia, Italy; Magnani E., Endocrinology Unit, Azienda USL-IRCCS di Reggio Emilia, Reggio Emilia, Italy; Rosato S., Medical Genetics Unit, Azienda USL-IRCCS di Reggio Emilia, Reggio Emilia, Italy; Pollazzon M., Medical Genetics Unit, Azienda USL-IRCCS di Reggio Emilia, Reggio Emilia, Italy; Matalonga L., CNAG-CRG, Centre for Genomic Regulation (CRG), Barcelona Institute of Science and Technology (BIST), Barcelona, Spain; Piana S., Pathology Unit, Azienda USL-IRCCS di Reggio Emilia, Reggio Emilia, Italy; Nicoli D., Laboratory of Molecular Biology, Azienda USL-IRCCS di Reggio Emilia, Reggio Emilia, Italy; Baldo C., Laboratory of Human Genetics, IRCCS Istituto Giannina Gaslini, Genova, Italy; Bernasconi S., Department of Pediatrics, University of Parma, Parma, Italy; Frasoldati A., Endocrinology Unit, Azienda USL-IRCCS di Reggio Emilia, Reggio Emilia, Italy; Zuffardi O., Department of Molecular Medicine, University of Pavia, Pavia, Italy; Garavelli L., Medical Genetics Unit, Azienda USL-IRCCS di Reggio Emilia, Reggio Emilia, Italy","Fondazione Cassa di Ris-parmio Reggio Emilia Pietro Manodori","L. Garavelli; Medical Genetics Unit, Azienda USL-IRCCS di Reggio Emilia, Reggio Emilia, Italy; email: livia.garavelli@ausl.re.it","","Springer Nature","14345161","","JHGEF","31656314","English","J. Hum. Genet.","Article","Final","","Scopus","2-s2.0-85074616576"
"Inoue N.; Watanabe M.; Wada M.; Morita M.; Hidaka Y.; Iwatani Y.","Inoue, Naoya (35750180700); Watanabe, Mikio (55793188612); Wada, Megumi (55254798200); Morita, Mami (59099631800); Hidaka, Yoh (7102099529); Iwatani, Yoshinori (7005606504)","35750180700; 55793188612; 55254798200; 59099631800; 7102099529; 7005606504","IL-10 -592A/C polymorphism is associated with severity of Hashimoto's disease","2013","Cytokine","64","1","","370","374","4","16","10.1016/j.cyto.2013.05.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883552170&doi=10.1016%2fj.cyto.2013.05.014&partnerID=40&md5=204086efdc685158a7865c2cef3423a7","Department of Biomedical Informatics, Division of Health Sciences, Osaka University Graduate School of Medicine, Osaka 565-0871, Yamadaoka 1-7, Suita, Japan; Department of Laboratory Medicine, Osaka University Graduate School of Medicine, Osaka 565-0871, Yamadaoka 2-2, Suita, Japan","Inoue N., Department of Biomedical Informatics, Division of Health Sciences, Osaka University Graduate School of Medicine, Osaka 565-0871, Yamadaoka 1-7, Suita, Japan; Watanabe M., Department of Biomedical Informatics, Division of Health Sciences, Osaka University Graduate School of Medicine, Osaka 565-0871, Yamadaoka 1-7, Suita, Japan; Wada M., Department of Biomedical Informatics, Division of Health Sciences, Osaka University Graduate School of Medicine, Osaka 565-0871, Yamadaoka 1-7, Suita, Japan; Morita M., Department of Biomedical Informatics, Division of Health Sciences, Osaka University Graduate School of Medicine, Osaka 565-0871, Yamadaoka 1-7, Suita, Japan; Hidaka Y., Department of Laboratory Medicine, Osaka University Graduate School of Medicine, Osaka 565-0871, Yamadaoka 2-2, Suita, Japan; Iwatani Y., Department of Biomedical Informatics, Division of Health Sciences, Osaka University Graduate School of Medicine, Osaka 565-0871, Yamadaoka 1-7, Suita, Japan","Japan Society for the Promotion of Science, JSPS, (23390150, 23590671, 24590695); Japan Society for the Promotion of Science, JSPS","Y. Iwatani; Department of Biomedical Informatics, Division of Health Sciences, Osaka University Graduate School of Medicine, Osaka 565-0871, Yamadaoka 1-7, Suita, Japan; email: iwatani@sahs.med.osaka-u.ac.jp","","","10960023","","CYTIE","23757290","English","Cytokine","Article","Final","","Scopus","2-s2.0-84883552170"
"Zaletel K.; Gaberšček S.","Zaletel, Katja (6507327945); Gaberšček, Simona (6602324270)","6507327945; 6602324270","Hashimoto's thyroiditis: From genes to the disease","2011","Current Genomics","12","8","","576","588","12","130","10.2174/138920211798120763","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82155203090&doi=10.2174%2f138920211798120763&partnerID=40&md5=68cabba65e0439df1d2662a97abfe914","Department of Nuclear Medicine, University Medical Centre Ljubljana, 1525 Ljubljana, Zaloška 7, Slovenia","Zaletel K., Department of Nuclear Medicine, University Medical Centre Ljubljana, 1525 Ljubljana, Zaloška 7, Slovenia; Gaberšček S., Department of Nuclear Medicine, University Medical Centre Ljubljana, 1525 Ljubljana, Zaloška 7, Slovenia","","S. Gaberšček; Department of Nuclear Medicine, University Medical Centre Ljubljana, 1525 Ljubljana, Zaloška 7, Slovenia; email: simona.gaberscek@kclj.si","","","18755488","","CGUEA","","English","Curr. Genomics","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-82155203090"
